ID,hcscore,year,Codable,Rand_ord,gender,race,education,pwb_pmean,pwb_pmc,pwb_z,neur,extra,consc,agree,open,neur_z,extra_z,consc_z,agree_z,open_z,lgs_m,lgs._t,iwah_a,iwah_c,iwah_w,iwah_m,income,psm_m,ag_m,con_m,ext_m,neuro_m,open_m
6,2,9,1,0.39529211400000003,1,NA,NA,5.058201058,-0.367724868,-0.302414786,2.138888889,3.222222222,3.583333333,4.138888889,3.305555556,-0.268261149,-0.468591282,-0.584983953,0.491801728,-0.393581809,1.65,33,NA,NA,NA,NA,5,NA,4.08333333,3.25,3.16666667,2.16666667,3.08333333
7,2,1,1,0.463871635,0,1,3,3.740740741,0.187830688,-1.425158759,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,2,40,NA,NA,NA,NA,6,4.25,3,2.83333333,3.5,3.08333333,3.83333333
7,2,2,1,0.773656094,0,NA,NA,3.740740741,-1.121693122,-3.354874963,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,NA,NA,NA,NA,NA,NA,6,NA,NA,NA,NA,NA,NA
7,2,3,1,0.339063261,0,NA,NA,3.740740741,-0.645502646,-2.65315998,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
7,2,4,1,0.071480136,0,NA,NA,3.740740741,-0.812169312,-2.898760224,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,NA,NA,NA,NA,NA,NA,4,NA,NA,NA,NA,NA,NA
7,2,5,1,0.291929111,0,NA,NA,3.740740741,-0.193121693,-1.986530745,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,1.55,31,NA,NA,NA,NA,5,NA,3.25,2.41666667,3.25,3.41666667,4
7,2,6,1,0.79377629,0,NA,NA,3.740740741,0.259259259,-1.319901511,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,NA,NA,4.333333333,4.333333333,3.333333333,4,6,NA,NA,NA,NA,NA,NA
7,2,7,1,0.583981747,0,NA,NA,3.740740741,0.61640211600000006,-0.793615274,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,NA,NA
7,2,8,1,0.715726256,0,NA,NA,3.740740741,0.973544974,-0.267329036,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,NA,NA,NA,NA,NA,NA,8,NA,NA,NA,NA,NA,NA
7,2,9,1,0.461036252,0,NA,NA,3.740740741,0.735449735,-0.618186528,2.972222222,3.527777778,2.861111111,3.25,4.027777778,1.036832435,0.15591212,-1.938406216,-1.595964051,1.144988193,2,40,NA,NA,NA,NA,8,NA,3.5,3.33333333,3.83333333,2.41666667,4.25
